"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Begin.Date.Time","Begin.Hour","Species","Notes"
"84",84,"Spectrogram 1",1,179661.002012712,179686.934204096,235.872,619.165,"2023/3/13  21:24:13.0020",21,"Hmp",""
"85",85,"Spectrogram 1",1,179759.773153425,179798.290084746,191.646,773.956,"2023/3/13  21:25:51.7732",21,"HmpSng",""
"86",86,"Spectrogram 1",1,181249.8070369,181274.086686676,73.71,442.26,"2023/3/13  21:50:41.8070",21,"HmpSng",""
"87",87,"Spectrogram 1",1,181640.594633239,181681.908173435,125.307,877.15,"2023/3/13  21:57:12.5946",21,"HmpSng",""
"88",88,"Spectrogram 1",1,182901.889259475,182950.321440443,110.565,471.744,"2023/3/13  22:18:13.8893",22,"HmpSng",""
"89",89,"Spectrogram 1",1,186631.194092691,186664.880517773,191.646,353.808,"2023/3/13  23:20:22.1941",23,"HmpSng",""
"90",90,"Spectrogram 1",1,188739.227990054,188777.490684204,191.646,442.26,"2023/3/13  23:55:30.2280",23,"HmpSng",""
"91",91,"Spectrogram 1",1,189591.812716102,189641.388964336,140.049,678.133,"2023/3/14  0:09:43.8127",0,"HmpSng",""
"92",92,"Spectrogram 1",1,190708.778742349,190800.939716631,390.663,1393.12,"2023/3/14  0:28:20.7787",0,"HmpSng",""
"93",93,"Spectrogram 1",1,197809.956637535,197825.973579273,169.533,781.327,"2023/3/14  2:26:41.9566",2,"HmpSng",""
"94",94,"Spectrogram 1",1,198169.168402307,198260.566665078,117.936,597.052,"2023/3/14  2:32:41.1684",2,"HmpSng",""
"95",95,"Spectrogram 1",1,198621.609012476,198673.854751,184.275,825.553,"2023/3/14  2:40:12.6090",2,"HmpSng",""
"96",96,"Spectrogram 1",1,200104.397136594,200163.380160134,103.194,574.939,"2023/3/14  3:04:55.3971",3,"HmpSng",""
"97",97,"Spectrogram 1",1,201538.369807321,201598.751135299,110.565,619.165,"2023/3/14  3:28:49.3698",3,"HmpSng",""
"98",98,"Spectrogram 1",1,202225.394212983,202291.62299588,95.823,1002.457,"2023/3/14  3:40:16.3942",3,"HmpSng",""
"99",99,"Spectrogram 1",1,203524.190821857,203601.478921669,206.388,737.101,"2023/3/14  4:01:55.1908",4,"HmpSng",""
"100",100,"Spectrogram 1",1,206579.817950859,206626.089115878,117.936,796.069,"2023/3/14  4:52:51.8180",4,"HmpSng",""
"101",101,"Spectrogram 1",1,208195.114479873,208264.01275306,199.017,862.408,"2023/3/14  5:19:47.1145",5,"HmpSng",""
"102",102,"Spectrogram 1",1,210776.055079626,210833.385561558,95.823,722.359,"2023/3/14  6:02:47.0551",6,"HmpSng",""
"103",103,"Spectrogram 1",1,212778.528795492,212838.274530544,162.162,1223.587,"2023/3/14  6:36:10.5288",6,"HmpSng",""
"104",104,"Spectrogram 1",1,214217.458757709,214287.373979579,147.42,737.101,"2023/3/14  7:00:09.4588",7,"HmpSng",""
"105",105,"Spectrogram 1",1,217898.965752884,217972.694532309,95.823,958.231,"2023/3/14  8:01:30.9658",8,"HmpSng",""
"106",106,"Spectrogram 1",1,221833.231334569,221897.934694444,162.162,1194.103,"2023/3/14  9:07:04.2313",9,"HmpSng",""
"107",107,"Spectrogram 1",1,225269.165913489,225291.920140242,81.081,471.744,"2023/3/14  10:04:20.1659",10,"HmpSoc",""
"108",108,"Spectrogram 1",1,227638.401729755,227674.249170786,110.565,552.826,"2023/3/14  10:43:49.4017",10,"HmpSng",""
"109",109,"Spectrogram 1",1,229149.537298376,229178.64745439,81.081,574.939,"2023/3/14  11:09:00.5373",11,"HmpSng",""
"110",110,"Spectrogram 1",1,229003.425788194,229025.417303437,169.533,648.649,"2023/3/14  11:06:34.4258",11,"HmpSng",""
"111",111,"Spectrogram 1",1,232208.590629178,232292.361776836,110.565,648.649,"2023/3/14  11:59:59.5906",11,"HmpSng",""
"112",112,"Spectrogram 1",1,232555.217237347,232590.429085452,88.452,560.197,"2023/3/14  12:05:46.2172",12,"HmpSng",""
"113",113,"Spectrogram 1",1,236751.956757121,236839.16010658,140.049,479.115,"2023/3/14  13:15:42.9568",13,"HmpSng",""
"114",114,"Spectrogram 1",1,241059.339785134,241096.077056262,140.049,538.084,"2023/3/14  14:27:30.3398",14,"Hmp",""
"115",115,"Spectrogram 1",1,260877.860824859,260967.479427436,81.081,773.956,"2023/3/14  19:57:47.8608",19,"HmpSng",""
"116",116,"Spectrogram 1",1,261529.672965749,261634.672917137,132.678,678.133,"2023/3/14  20:08:39.6730",20,"HmpSng",""
"117",117,"Spectrogram 1",1,262186.56993338,262250.510581744,169.533,589.681,"2023/3/14  20:19:36.5699",20,"HmpSng",""
"118",118,"Spectrogram 1",1,262790.332665725,262877.027540843,147.42,862.408,"2023/3/14  20:29:40.3327",20,"HmpSng",""
"119",119,"Spectrogram 1",1,265209.146230226,265253.002142126,117.936,714.988,"2023/3/14  21:09:59.1462",21,"HmpSng",""
"120",120,"Spectrogram 1",1,265520.307253119,265590.476712159,140.049,914.005,"2023/3/14  21:15:10.3073",21,"HmpSng",""
"121",121,"Spectrogram 1",1,274183.08687859,274222.493640007,103.194,604.423,"2023/3/14  23:39:32.0869",23,"Hmp",""
"122",122,"Spectrogram 1",1,275573.968015596,275607.908677848,110.565,412.776,"2023/3/15  0:02:43.9680",0,"HmpSng",""
"123",123,"Spectrogram 1",1,277788.2698002,277840.642657309,191.646,442.26,"2023/3/15  0:39:37.2698",0,"Hmp",""
"124",124,"Spectrogram 1",1,278557.08337859,278582.634214218,117.936,523.342,"2023/3/15  0:52:26.0834",0,"Hmp",""
"125",125,"Spectrogram 1",1,279315.346114407,279370.388461806,140.049,751.843,"2023/3/15  1:05:04.3461",1,"HmpSng",""
"126",126,"Spectrogram 1",1,279432.676568562,279454.286728049,44.226,515.971,"2023/3/15  1:07:01.6766",1,"HmpSoc",""
"127",127,"Spectrogram 1",1,282050.91391955,282109.13423158,88.452,523.342,"2023/3/15  1:50:40.9139",1,"Hmp",""
"128",128,"Spectrogram 1",1,282556.235944503,282604.541006886,257.985,818.182,"2023/3/15  1:59:05.2359",1,"HmpSng",""
"129",129,"Spectrogram 1",1,284201.530876295,284279.073213277,147.42,648.649,"2023/3/15  2:26:30.5309",2,"HmpSng",""
"130",130,"Spectrogram 1",1,285044.327471281,285117.929132121,81.081,825.553,"2023/3/15  2:40:33.3275",2,"HmpSng",""
"131",131,"Spectrogram 1",1,285140.988435146,285275.35277972,125.307,1238.329,"2023/3/15  2:42:09.9884",2,"HmpSng",""
"132",132,"Spectrogram 1",1,286641.953266949,286734.368478402,110.565,1031.941,"2023/3/15  3:07:10.9533",3,"HmpSng",""
"133",133,"Spectrogram 1",1,289337.478384416,289414.893602813,125.307,766.585,"2023/3/15  3:52:06.4784",3,"HmpSng",""
"134",134,"Spectrogram 1",1,291657.215565266,291730.817226106,88.452,1393.12,"2023/3/15  4:30:46.2156",4,"HmpSng",""
"135",135,"Spectrogram 1",1,293606.300225341,293654.859524894,110.565,678.133,"2023/3/15  5:03:15.3002",5,"HmpSng",""
"136",136,"Spectrogram 1",1,297046.304598988,297259.024247822,110.565,877.15,"2023/3/15  6:00:34.3046",6,"HmpSng",""
"137",137,"Spectrogram 1",1,297768.082217514,297920.624519774,117.936,906.634,"2023/3/15  6:12:36.0822",6,"HmpSng",""
"138",138,"Spectrogram 1",1,301694.592315501,301818.278698917,58.968,589.681,"2023/3/15  7:18:03.5923",7,"HmpSng",""
"139",139,"Spectrogram 1",1,302318.946841984,302374.87901948,81.081,678.133,"2023/3/15  7:28:27.9468",7,"HmpSng",""
"140",140,"Spectrogram 1",1,306679.719759122,306719.253639124,81.081,449.631,"2023/3/15  8:41:08.7198",8,"HmpSng",""
"141",141,"Spectrogram 1",1,307160.635015713,307215.804481697,36.855,427.518,"2023/3/15  8:49:08.6350",8,"HmpSng",""
"142",142,"Spectrogram 1",1,307319.329515831,307430.43115931,95.823,700.246,"2023/3/15  8:51:47.3295",8,"HmpSng",""
"143",143,"Spectrogram 1",1,308128.438435734,308231.277371175,88.452,855.037,"2023/3/15  9:05:16.4384",9,"HmpSng",""
"144",144,"Spectrogram 1",1,308998.818513712,309063.776110758,22.113,803.44,"2023/3/15  9:19:47.8185",9,"HmpSng",""
"145",145,"Spectrogram 1",1,311868.928704449,311917.233766831,117.936,479.115,"2023/3/15  10:07:36.9287",10,"HmpSng",""
"146",146,"Spectrogram 1",1,312886.055718868,312940.589591926,176.904,722.359,"2023/3/15  10:24:34.0557",10,"HmpSng",""
"147",147,"Spectrogram 1",1,314192.860631944,314289.597875294,66.339,560.197,"2023/3/15  10:46:20.8606",10,"HmpSng",""
"148",148,"Spectrogram 1",1,315194.733416137,315234.648651895,66.339,530.713,"2023/3/15  11:03:02.7334",11,"Hmp",""
"149",149,"Spectrogram 1",1,316118.172199918,316196.223011241,206.388,722.359,"2023/3/15  11:18:26.1722",11,"HmpSng",""
"150",150,"Spectrogram 1",1,319703.140849812,319753.988283898,176.904,781.327,"2023/3/15  12:18:10.1408",12,"Hmp",""
"151",151,"Spectrogram 1",1,320863.070874529,320920.909830803,117.936,796.069,"2023/3/15  12:37:30.0709",12,"HmpSng",""
"152",152,"Spectrogram 1",1,323500.321090866,323636.642886653,125.307,611.794,"2023/3/15  13:21:28.3211",13,"Hmp",""
"153",153,"Spectrogram 1",1,324341.259912841,324390.45480532,162.162,457.002,"2023/3/15  13:35:28.2599",13,"HmpSng",""
"154",154,"Spectrogram 1",1,326001.299767185,326122.698016066,140.049,714.988,"2023/3/15  14:03:08.2998",14,"HmpSng",""
"155",155,"Spectrogram 1",1,336011.104867761,336058.520100047,176.904,589.681,"2023/3/15  16:49:58.1049",16,"Hmp",""
"156",156,"Spectrogram 1",1,337978.621806026,337999.977728343,228.501,766.585,"2023/3/15  17:22:45.6218",17,"HmpSng",""
"157",157,"Spectrogram 1",1,341930.562371057,341997.17250971,213.759,1017.199,"2023/3/15  18:28:37.5624",18,"HmpSng",""
"158",158,"Spectrogram 1",1,343820.918161429,343877.613050435,184.275,855.037,"2023/3/15  19:00:07.9182",19,"HmpSng",""
"159",159,"Spectrogram 1",1,347849.81614295,347882.48561935,176.904,493.857,"2023/3/15  20:07:16.8161",20,"Hmp",""
"160",160,"Spectrogram 1",1,357666.934408722,357710.536083451,316.953,766.585,"2023/3/15  22:50:53.9344",22,"Hmp",""
"161",161,"Spectrogram 1",1,358196.968361641,358249.976811676,147.42,464.373,"2023/3/15  22:59:43.9684",22,"Hmp",""
"162",162,"Spectrogram 1",1,358070.052924494,358128.018999353,95.823,700.246,"2023/3/15  22:57:36.0529",22,"HmpSng",""
"163",163,"Spectrogram 1",1,359050.696988289,359135.739321798,125.307,803.44,"2023/3/15  23:13:56.6970",23,"HmpSng",""
"164",164,"Spectrogram 1",1,372030.527404249,372097.391780073,154.791,1149.877,"2023/3/16  2:50:16.5274",2,"HmpSng",""
"165",165,"Spectrogram 1",1,373414.414769068,373465.262203154,206.388,574.939,"2023/3/16  3:13:20.4148",3,"Hmp",""
"166",166,"Spectrogram 1",1,375637.233082215,375691.131362347,110.565,663.391,"2023/3/16  3:50:22.2331",3,"Hmp",""
"167",167,"Spectrogram 1",1,376342.994592338,376381.130167903,162.162,648.649,"2023/3/16  4:02:08.9946",4,"Hmp",""
"168",168,"Spectrogram 1",1,376756.994050671,376815.722837041,125.307,678.133,"2023/3/16  4:09:02.9941",4,"HmpSng",""
"169",169,"Spectrogram 1",1,378757.990849282,378853.329788194,140.049,722.359,"2023/3/16  4:42:23.9908",4,"HmpSng",""
"170",170,"Spectrogram 1",1,379914.616207451,379973.599230991,140.049,678.133,"2023/3/16  5:01:39.6162",5,"HmpSng",""
"171",171,"Spectrogram 1",1,380591.979600636,380685.41176077,117.936,744.472,"2023/3/16  5:12:57.9796",5,"HmpSng",""
"172",172,"Spectrogram 1",1,382739.289474164,382805.391138477,132.678,862.408,"2023/3/16  5:48:44.2895",5,"HmpSng",""
"173",173,"Spectrogram 1",1,383505.55943085,383603.822097222,66.339,899.263,"2023/3/16  6:01:30.5594",6,"HmpSng",""
"174",174,"Spectrogram 1",1,383949.101073387,384109.01625359,103.194,633.907,"2023/3/16  6:08:54.1011",6,"HmpSng",""
"175",175,"Spectrogram 1",1,387346.51930432,387418.214186382,162.162,884.521,"2023/3/16  7:05:31.5193",7,"HmpSng",""
"176",176,"Spectrogram 1",1,388809.856034899,388898.966163136,162.162,2874.693,"2023/3/16  7:29:54.8560",7,"HmpSng",""
"177",177,"Spectrogram 1",1,389543.787198505,389615.736317738,199.017,928.747,"2023/3/16  7:42:08.7872",7,"HmpSng",""
"178",178,"Spectrogram 1",1,390972.293436735,391082.123894362,147.42,2734.644,"2023/3/16  8:05:57.2934",8,"HmpSng",""
"179",179,"Spectrogram 1",1,391570.843307086,391651.182252943,95.823,1312.039,"2023/3/16  8:15:55.8433",8,"HmpSng",""
"180",180,"Spectrogram 1",1,391909.588562971,392052.596971339,66.339,1422.604,"2023/3/16  8:21:34.5886",8,"HmpSng",""
"181",181,"Spectrogram 1",1,394366.661071622,394427.169518185,125.307,471.744,"2023/3/16  9:02:31.6611",9,"HmpSng",""
"182",182,"Spectrogram 1",1,395381.49853484,395423.574786547,162.162,766.585,"2023/3/16  9:19:26.4985",9,"HmpSng",""
"183",183,"Spectrogram 1",1,395778.133419433,395834.701189854,169.533,2506.143,"2023/3/16  9:26:02.1334",9,"HmpSng",""
"184",184,"Spectrogram 1",1,398141.723262182,398201.723234404,176.904,1083.538,"2023/3/16  10:05:26.7233",10,"HmpSng",""
"185",185,"Spectrogram 1",1,398431.909635181,398496.358757886,272.727,914.005,"2023/3/16  10:10:16.9096",10,"HmpSng",""
"186",186,"Spectrogram 1",1,401656.655071622,401667.841507121,147.42,545.455,"2023/3/16  11:04:01.6551",11,"Hmp",""
"187",187,"Spectrogram 1",1,405993.663563324,406027.858462747,103.194,1061.425,"2023/3/16  12:16:17.6636",12,"Hmp",""
"188",188,"Spectrogram 1",1,406674.205921139,406746.027921787,88.452,619.165,"2023/3/16  12:27:38.2059",12,"Hmp",""
"189",189,"Spectrogram 1",1,413370.612592279,413423.621042314,280.098,1828.01,"2023/3/16  14:19:14.6126",14,"Hmp",""
"190",190,"Spectrogram 1",1,413841.739384475,413907.332574447,110.565,1400.491,"2023/3/16  14:27:05.7394",14,"HmpSng",""
"191",191,"Spectrogram 1",1,415215.586881062,415281.561426789,29.484,442.26,"2023/3/16  14:49:59.5869",14,"HmpSng",""
"192",192,"Spectrogram 1",1,418624.700855167,418678.472016714,58.968,722.359,"2023/3/16  15:46:48.7009",15,"Hmp",""
